x,y,label
6.428906229673885,3.412846030667424,1
8.226817385526374,5.564855688251555,1
6.091792464489117,4.225575624033809,1
8.44937387027312,3.778856580145657,1
8.299815853941254,3.352507734671235,1
8.885903933434747,3.9270241828635335,1
8.390401068842039,4.281937288120389,1
5.991978911450133,4.824319317005575,1
7.2509258047211915,5.229725203476846,1
8.394587834132835,5.519176769070327,1
6.748875813907944,5.8042685352265835,1
6.777670802897774,5.322051605209708,1
6.726695635705255,4.851224261336029,1
6.216536147519946,4.903061477467418,1
7.2569648085627705,4.382650239393115,1
5.797829997376539,3.270592438057065,1
6.550057729007676,5.830211171880364,1
6.384957859409042,3.6167942946776748,1
7.030187389464118,3.6412936560809612,1
6.735647093621083,6.1583974016830325,1
8.009497125633061,6.548462454229593,1
8.315086734248325,6.771892818622291,1
7.8729681194527075,5.7929106913506985,1
7.720088565605693,6.3475826578214765,1
7.034372181864455,6.663227278739214,1
8.593240579240955,6.495695138350129,1
7.045281516388059,3.942777330055833,1
8.490918134571984,4.8713437877595425,1
6.953233996056952,6.068279987201095,1
5.531377481413074,5.906195060350001,1
8.325070958351716,6.118225468322635,1
8.85341855790466,3.73207148630172,1
5.9041759634856135,5.029247128404677,1
6.22523154609371,6.520588305778801,1
6.490134386345744,5.951285461895168,1
7.1805833105463535,6.274068287573755,1
7.179127930197865,6.0747737772762775,1
6.056492476724088,6.236554737202823,1
7.636533883982338,5.113499514758587,1
5.833468379452825,6.12470715213567,1
8.00696217326913,5.181819132529199,1
5.860050191171467,5.66706448700279,1
6.903868610505015,5.870621892623603,1
7.015152539708652,6.578036296181381,1
6.689258995349519,5.0229178564623,1
7.179822512320243,4.274725761264563,1
8.262523477431387,4.044612072408199,1
6.284141025156714,5.791695053689182,1
5.600826735375449,3.480137358419597,1
8.858639337006025,5.008947427384555,1
8.644100440316834,3.103186552412808,1
7.427199014346115,3.9733139351010323,1
5.953408781555481,3.4395454674959183,1
7.910711010103114,4.999952361918986,1
8.766518989228643,6.968528334051371,1
6.505042962147854,3.348839296028018,1
7.97174360207282,3.014747687615454,1
7.18143137881998,6.0097803100943565,1
6.181391797261313,5.019941737875342,1
5.978284479002468,5.088395847007632,1
7.453196489484981,6.805008094757795,1
6.962716307374649,4.741989213973284,1
5.859680933877826,6.12520198430866,1
5.892333079362288,5.261407908983529,1
8.216640730854124,6.3460863046348095,1
6.749314762884751,6.807095781899989,1
7.761931041954085,5.886287349276245,1
5.671351392287761,6.51369842607528,1
7.011834222706966,5.956591288559139,1
7.084259443799965,4.540050377137959,1
7.141584719531238,3.8032326688989997,1
8.792541510541923,6.167135610245168,1
6.399667282472365,6.927435655146837,1
7.950248082866892,5.126943515613675,1
6.761581078520976,3.854121728800237,1
7.312676616827957,3.3185588251799345,1
7.444113487610593,4.217490087263286,1
6.95437730604317,4.546164589934051,1
5.564396293601021,4.84463407471776,1
5.993103547021747,6.291764605790377,1
5.858392794500105,3.7595351906493306,1
8.298353256774135,4.241118535399437,1
8.97327625832986,5.906082880683243,1
8.617757530068047,4.292104681953788,1
8.199183779535815,5.324562213383615,1
7.470928182709031,4.174719778820872,1
8.982361792121083,4.280957075767219,1
6.769729714258574,6.500195898115635,1
7.296322192647494,6.986292070709169,1
7.362962281215005,3.5037371329963207,1
6.8385982604231685,5.059064086526632,1
7.343806720105931,5.379563795402646,1
7.365654620691203,6.699935160577297,1
6.46995189297013,6.834031173959374,1
6.233523233910091,4.818339643999934,1
8.835074611008167,3.7698111049830914,1
7.8042845205636695,5.175371370278299,1
6.3266926280921325,4.744339843280613,1
8.651943515986204,4.525146204046905,1
6.025191561551765,5.36704355571419,1
7.192239109892398,6.667872520163655,1
8.182740409043618,4.714917787350714,1
6.122350848396309,6.9641426503658295,1
6.615968597005121,4.6717032715678215,1
8.214786577271298,5.770146632567048,1
6.715436375932768,5.831134129315615,1
5.752778348629363,5.256428348831832,1
6.673446387518197,5.087693167850375,1
7.162516911281273,3.2328782081604004,1
5.572033219737932,3.1471317913383245,1
6.802124560927041,4.642195361666381,1
6.2036269173258916,5.05998909752816,1
8.128379785455763,5.736578967422247,1
8.293420910835266,4.835579833947122,1
6.759105510078371,4.145191163755953,1
5.834618180990219,4.752485495992005,1
7.983062840648927,4.983946910127997,1
5.6356097337557,5.369718327187002,1
5.948049423401244,3.893184601329267,1
7.398085577529855,5.307790984399617,1
5.933596142800525,6.415781408548355,1
7.783859743038192,6.329113851301372,1
7.428691588691436,3.041457384824753,1
5.907610610942356,3.5456412751227617,1
6.698971580713987,4.946911744773388,1
6.771071050781757,6.464991522021592,1
8.777454778086394,6.257961859926581,1
8.102086511207744,5.827760667540133,1
7.940297604072839,3.5826633935794234,1
8.765218129148707,3.6921293642371893,1
8.047348313382827,6.273634182289243,1
8.930806299322285,5.624979646876454,1
8.446933140745386,3.108756171539426,1
6.403073917492293,4.381000967696309,1
6.667074670898728,3.7363528618589044,1
6.720479717943817,6.319558270275593,1
6.403708889149129,3.1333567909896374,1
7.722739173681475,3.832795137539506,1
8.409435043344274,4.282502391375601,1
7.773211583844386,5.305770085193217,1
7.5409839753992856,4.8775409664958715,1
6.584528190083802,3.314122878946364,1
5.5561186507111415,6.0681871715933084,1
7.871159838628955,6.031385475769639,1
7.73807450174354,6.685010015964508,1
5.991729967063293,3.536365390755236,1
7.561330602504313,3.120132992975414,1
